Problem Name,Difficulty,Source Sheets,Link,Acceptance Rate
Minimum Inversion Count in Subarrays of Fixed Length,Hard,leetcode-top-150,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/,42.4%
Minimum Operations to Equalize Subarrays,Hard,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays/,19.3%
Minimum Window Substring,Hard,neetcode150; blind75,https://leetcode.com/problems/minimum-window-substring/,N/A
Most Common Course Pairs,Hard,leetcode-top-150,https://leetcode.com/problems/most-common-course-pairs/,52.3%
N-Queens,Hard,neetcode150,https://leetcode.com/problems/n-queens/,N/A
Number of Effective Subsequences,Hard,leetcode-top-150,https://leetcode.com/problems/number-of-effective-subsequences/,30.3%
Number of Stable Subsequences,Hard,leetcode-top-150,https://leetcode.com/problems/number-of-stable-subsequences/,60.1%
Reconstruct Itinerary,Hard,neetcode150,https://leetcode.com/problems/reconstruct-itinerary/,N/A
Regular Expression Matching,Hard,neetcode150,https://leetcode.com/problems/regular-expression-matching/,N/A
Reverse Pairs,Hard,striver-a2z,https://leetcode.com/problems/reverse-pairs/,N/A
Sum of Beautiful Subsequences,Hard,leetcode-top-150,https://leetcode.com/problems/sum-of-beautiful-subsequences/,31.1%
Swim in Rising Water,Hard,neetcode150,https://leetcode.com/problems/swim-in-rising-water/,N/A
Trapping Rain Water,Hard,neetcode150,https://leetcode.com/problems/trapping-rain-water/,N/A
